epoch,accuracy,iou,loss,lr,precision_6,recall_6,val_accuracy,val_iou,val_loss,val_precision_6,val_recall_6
0,0.8564050793647766,0.10602514445781708,0.42014941573143005,1e-04,0.26935306191444397,0.28669044375419617,0.9123873114585876,0.0774877667427063,0.6157187819480896,0.0,0.0
1,0.9055282473564148,0.126976877450943,0.32291379570961,1e-04,0.5172284841537476,0.30137211084365845,0.9123873114585876,0.06603597849607468,0.4194163382053375,0.0,0.0
2,0.9134492874145508,0.14908331632614136,0.2865552306175232,1e-04,0.5775446891784668,0.3874622881412506,0.9123873114585876,0.05706771835684776,0.3569019138813019,0.0,0.0
3,0.9208230376243591,0.17020872235298157,0.26326945424079895,1e-04,0.6288996338844299,0.4438241720199585,0.9123873114585876,0.05790586397051811,0.31520381569862366,0.0,0.0
4,0.9280516505241394,0.19282405078411102,0.24365964531898499,1e-04,0.6799054741859436,0.4879510998725891,0.9107698798179626,0.05654166638851166,0.30017995834350586,0.014165159314870834,0.00026838050689548254
5,0.9354373216629028,0.2175118327140808,0.22608469426631927,1e-04,0.7278584837913513,0.5371392369270325,0.903904139995575,0.0549447201192379,0.303098201751709,0.045213837176561356,0.004802297800779343
6,0.9415519833564758,0.24211809039115906,0.2100496143102646,1e-04,0.7652744054794312,0.5784281492233276,0.9003651142120361,0.0722803995013237,0.2934844493865967,0.23060113191604614,0.05814720317721367
7,0.9470613598823547,0.26544636487960815,0.19605185091495514,1e-04,0.7993619441986084,0.613382875919342,0.9049995541572571,0.09127163887023926,0.2795032858848572,0.3669441342353821,0.11263986676931381
8,0.9507054090499878,0.28676772117614746,0.18436044454574585,1e-04,0.818943440914154,0.6392126083374023,0.9083341956138611,0.15117742121219635,0.26567327976226807,0.4735695719718933,0.3346162438392639
9,0.9530998468399048,0.3039875626564026,0.1750584840774536,1e-04,0.8313254117965698,0.6565706133842468,0.9259961247444153,0.1570410281419754,0.23500791192054749,0.6804264783859253,0.3053855895996094
10,0.9558311104774475,0.3220018744468689,0.1659519374370575,1e-04,0.8440392017364502,0.6778024435043335,0.9185548424720764,0.12899979948997498,0.24989749491214752,0.6051840782165527,0.21451310813426971
11,0.9586321115493774,0.3397403359413147,0.15749000012874603,1e-04,0.8569341897964478,0.6991395950317383,0.9236598014831543,0.1872015744447708,0.2277744859457016,0.612949788570404,0.37441933155059814
12,0.9610205888748169,0.35710301995277405,0.14936885237693787,1e-04,0.8684569597244263,0.7165672183036804,0.917066752910614,0.26518940925598145,0.22855980694293976,0.5283036231994629,0.6900290846824646
13,0.964579164981842,0.3799697160720825,0.139227032661438,1e-04,0.8864772319793701,0.7405524849891663,0.9352061748504639,0.255615234375,0.1941671371459961,0.6652936935424805,0.5515504479408264
14,0.9660972356796265,0.3975769281387329,0.13239061832427979,1e-04,0.890628457069397,0.7551625370979309,0.9351384043693542,0.24483537673950195,0.19790463149547577,0.6887019276618958,0.49733760952949524
15,0.9668104648590088,0.4093278646469116,0.12759587168693542,1e-04,0.8921746015548706,0.7614611983299255,0.9359245896339417,0.21030740439891815,0.19963565468788147,0.8339536190032959,0.3435612916946411
16,0.967045247554779,0.41790440678596497,0.1242804229259491,1e-04,0.8936710953712463,0.7628756761550903,0.9376686215400696,0.2237541377544403,0.19696150720119476,0.8264440298080444,0.37435367703437805
17,0.9661458730697632,0.4233998954296112,0.12295195460319519,1e-04,0.886645495891571,0.7597061395645142,0.9390501379966736,0.2530803382396698,0.18917472660541534,0.7748056650161743,0.4421968460083008
18,0.9684084057807922,0.4401785731315613,0.1155199185013771,1e-04,0.8987051248550415,0.7736919522285461,0.9203944206237793,0.287127822637558,0.2226608395576477,0.545922577381134,0.657612144947052
19,0.9722885489463806,0.46607863903045654,0.10578896105289459,1e-04,0.9143514037132263,0.8029384613037109,0.9263516068458557,0.28042227029800415,0.2044581025838852,0.5818297266960144,0.6247698068618774
